         437420278 function calls (437414804 primitive calls) in 151.708 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.005    0.005 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\chartsheet\__init__.py:1(<module>)
    15655    0.004    0.000    0.005    0.000 C:\Python313\Lib\site-packages\numpy\linalg\_linalg.py:128(isComplexType)
      364    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
    30946    0.005    0.000    0.005    0.000 {built-in method builtins.min}
      247    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      226    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
        1    0.000    0.000    0.005    0.005 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\worksheet\_write_only.py:1(<module>)
        1    0.000    0.000    0.005    0.005 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\packaging\workbook.py:1(<module>)
        1    0.000    0.000    0.005    0.005 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\reader\workbook.py:1(<module>)
     1100    0.001    0.000    0.005    0.000 C:\Python313\Lib\site-packages\numpy\_core\fromnumeric.py:89(_wrapreduction_any_all)
        1    0.000    0.000    0.005    0.005 C:\Users\prasun_agarwal\AppData\Roaming\Python\Python313\site-packages\openpyxl\chartsheet\chartsheet.py:1(<module>)
     4078    0.003    0.000    0.005    0.000 C:\Python313\Lib\xml\etree\ElementTree.py:1641(_start)
      100    0.000    0.000    0.005    0.000 C:\Python313\Lib\site-packages\scipy\stats\_continuous_distns.py:1553(_rvs)
     1501    0.000    0.000    0.005    0.000 C:\Python313\Lib\site-packages\pandas\io\formats\excel.py:742(_format_regular_rows)
